# server -> client. opcode  handler_va  handler_name (from the handler's own log string)
0x0105  180de5590  receive_eSUB_CMD_SYSTEM_KEEP_ALIVE
0x0656  180dd0b90  ?
0x0661  180dcdac0  ?
0x0662  180dcdbe0  ?
0x0663  180dd0e50  ?
0x0664  180dd0fc0  ?
0x0666  180dd1540  ?
0x066a  180dd1070  ?
0x066f  180dd2140  ?
0x0670  180dcdce0  ?
0x0671  180dcea10  ?
0x0672  180dcee70  ?
0x0673  180dcf5d0  ?
0x0674  180dcf9a0  ?
0x0675  180dcfaa0  ?
0x0676  180dcfe10  ?
0x0677  180dd0000  ?
0x0679  180dd0140  ?
0x067a  180dd17c0  ?
0x067b  180dd1c00  ?
0x067c  180dd1e80  ?
0x067d  180dd1f40  receive_eSUB_CMD_SKILL_DEFENCE_TYPE - Miss match defense type S(%d) / C(%d)
0x067e  180dd2090  ?
0x067f  180dd1290  ?
0x0701  180de97a0  ?
0x0702  180dea540  ?
0x0703  180deac60  ?
0x0704  180deafc0  ?
0x0705  180deb7c0  ?
0x0706  180deba30  ?
0x0707  180debdc0  ?
0x0708  180deb1d0  receive_eSUB_CMD_CHAT_NOTICE_EX - [%d, %d, %d, %d, %s]
0x0801  180dec630  receive_eSUB_CMD_ITEM_INVEN_INFO
0x0802  180dede40  receive_eSUB_CMD_ITEM_MOVE
0x0803  180def4a0  receive_eSUB_CMD_ITEM_COMBINE
0x0804  180defae0  receive_eSUB_CMD_ITEM_DIVIDE
0x0805  180df0160  receive_eSUB_CMD_ITEM_BREAK
0x0806  180df0c00  receive_eSUB_CMD_ITEM_CREATE : size(%d)
0x080d  180df3d30  receive_eSUB_CMD_ITEM_MOVE_BT
0x080e  180df2e00  receive_eSUB_CMD_ITEM_OPEN_SLOT_INFO
0x080f  180df3400  receive_eSUB_CMD_ITEM_ADD_SLOT
0x0810  180dedaa0  receive_eSUB_CMD_ITEM_BANK_INFO
0x0811  180df4920  receive_eSUB_CMD_ITEM_USE
0x0812  180df1a60  receive_eSUB_CMD_ITEM_REDUCE : count(%d)
0x0813  180df6150  ?
0x0814  180dd7300  ?
0x0815  180df2140  receive_eSUB_CMD_ITEM_UPDATE
0x0820  180dd7490  ?
0x0821  180dd7bc0  ?
0x0825  180df6330  receive_eSUB_CMD_ITEM_LINE_UP_BEGIN
0x0826  180dd95c0  receive_eSUB_CMD_ITEM_LOAD_QUICKSLOT
0x0827  180dda0e0  receive_eSUB_CMD_ITEM_UPDATE_QUICKSLOT_CARD
0x0828  180dda4b0  receive_eSUB_CMD_ITEM_UPDATE_QUICKSLOT_ITEM
0x0831  180dd7ca0  ?
0x0832  180dd84e0  ?
0x0833  180dd86d0  receive_eSUB_CMD_ITEM_UPDATE_CASH
0x0834  180e32230  receive_eSUB_CMD_ITEM_UPDATE_FRIEND_POINT
0x0847  180dda980  receive_eSUB_CMD_ITEM_MAZE_REWARD_ITEM
0x0848  180dd8f50  ?
0x0849  180dd90a0  ?
0x084a  180decba0  ?
0x0850  180decd90  receive_eSUB_CMD_ITEM_APPEARANCE_LOAD
0x0852  180decf70  ?
0x0853  180ded810  receive_eSUB_CMD_ITEM_NAME_CHANGE
0x0855  180de0a60  receive_eSUB_CMD_ITEM_SOCKET_LOAD
0x0856  180de1a10  receive_eSUB_CMD_ITEM_BROACH_LOAD
0x0857  180df7080  ?
0x0858  180df7340  ?
0x0861  180de0bd0  receive_eSUB_CMD_ITEM_SOCKET_UPDATE
0x0862  180de1b80  receive_eSUB_CMD_ITEM_BROACH_UPDATE
0x0863  180dd8a30  ?
0x0864  180dd8c10  ?
0x0865  180dda810  ?
0x0866  180dd9160  ?
0x0867  180df6080  ?
0x0868  180dd9dc0  ?
0x0869  180dda080  ?
0x0870  180df5630  ?
0x0871  180df5b10  receive_eSUB_CMD_ITEM_RESEAL_PACKAGE
0x0872  180df5f10  receive_eSUB_CMD_ITEM_RESEAL_PACKAGE_INFO
0x0873  180df5780  receive_eSUB_CMD_CARD_DECK_PAGE_OPEN
0x0875  180dd9410  ?
0x0876  180dd9520  ?
0x0877  180e49280  ?
0x0901  180e01b70  ?
0x0902  180e026a0  receive_eSUB_CMD_SHOP_SELL
0x0903  180e02d20  receive_eSUB_CMD_SHOP_REPURCHASER_LIST
0x0904  180e02f80  receive_eSUB_CMD_SHOP_REPURCHASER
0x0905  180e031c0  receive_eSUB_CMD_SHOP_REPURCHASER_ADD
0x0906  180e032e0  receive_eSUB_CMD_SHOP_REPURCHASER
0x0910  180e033b0  receive_eSUB_CMD_SHOP_ITEM_LOAD
0x0911  180e036c0  receive_eSUB_CMD_SHOP_ITEM_UPDATE
0x0912  180e03920  receive_eSUB_CMD_SHOP_ITEM_INIT
0x0914  180e04a60  receive_eSUB_CMD_SHOP_CASH_STEAM_CHARGE_FINISH
0x0915  180e04cf0  ?
0x0916  180e04d20  ?
0x0920  180e03bc0  receive_eSUB_CMD_SHOP_CASH_LOAD
0x0921  180e04590  receive_eSUB_CMD_SHOP_CASH_BUY
0x0922  180e04910  receive_eSUB_CMD_SHOP_CASH_SET_LOAD
0x0923  180e05990  receive_eSUB_CMD_SHOP_CASH_SET
0x0924  180e058a0  receive_eSUB_CMD_SHOP_CASH_SET_DEL
0x0925  180e047e0  receive_eSUB_CMD_SHOP_CASH_GIFT
0x0927  180e05240  receive_eSUB_CMD_SHOP_GACHA_RES
0x0928  180e04440  receive_eSUB_CMD_SHOP_BANNER_LOAD
0x0929  180e03f90  receive_eSUB_CMD_SHOP_CASH_TAB_LOAD
0x092a  180e03dc0  receive_eSUB_CMD_SHOP_CASH_UPDATE
0x092b  180e040e0  receive_eSUB_CMD_SHOP_CASH_TAB_UPDATE
0x0930  180e04200  receive_eSUB_CMD_SHOP_CASH_BUY_COUNT_LOAD
0x0931  180e04320  receive_eSUB_CMD_SHOP_CASH_BUY_COUNT_UPDATE
0x0932  180e04f90  receive_eSUB_CMD_SHOP_GET_URL
0x0934  180e037f0  receive_eSUB_CMD_SHOP_ITEM_UPDATE
0x0936  180e05630  receive_eSUB_CMD_SHOP_GACHA_LIMIT_INFO
0x0937  180e05160  receive_eSUB_CMD_SHOP_GET_G_COIN
0x0a01  180e05aa0  receive_eSUB_CMD_TRADE_REQ
0x0a02  180e06020  receive_eSUB_CMD_TRADE_ACCEPT
0x0a03  180e06460  receive_eSUB_CMD_TRADE_UPDATE_ITEM
0x0a04  180e06730  receive_eSUB_CMD_TRADE_UPDATE_MONEY
0x0a05  180e069b0  receive_eSUB_CMD_TRADE_CHECK
0x0a06  180e06a60  receive_eSUB_CMD_TRADE_CONFIRM
0x0a07  180e06a90  receive_eSUB_CMD_TRADE_RESULT
0x0a08  180e06f50  receive_eSUB_CMD_TRADE_CANCEL
0x0a09  180e07c50  ?
0x0a0a  180e080c0  receive_eSUB_CMD_PRIVATE_SHOP_ITEM
0x0a0b  180e081e0  ?
0x0a0c  180e08600  ?
0x0a0d  180e08810  ?
0x0a0e  180e08cb0  ?
0x0a0f  180e09190  ?
0x1105  180e3e130  receive_eSUB_CMD_MAZE_PLAY_EVENT %s - %d
0x1106  180e40e50  receive_eSUB_CMD_MAZE_RESET_LUA_FUNCTION_BOX %d
0x1107  180e40ef0  receive_eSUB_CMD_MAZE_PLAY_SPEECH %d
0x1114  180df8210  ?
0x1121  180e41020  ?
0x1124  180df8530  ?
0x1125  180df8560  ?
0x1134  180df8a80  ?
0x1136  180df8a50  ?
0x1137  180df9220  ?
0x1138  180dfba40  ?
0x113b  180e41b00  ?
0x113d  180e47bb0  ?
0x1142  180df7460  ?
0x1144  180df7ac0  ?
0x1147  180df9340  ?
0x1149  180df9830  ?
0x114a  180df91d0  ?
0x114b  180e3a2a0  ?
0x114d  180e3a570  ?
0x114e  180e47c80  ?
0x114f  180e3aaf0  ?
0x1151  180df9c00  ?
0x1152  180dfbe80  ?
0x1153  180dfc110  ?
0x1154  180dfc250  ?
0x1155  180dfc5b0  ?
0x1156  180dfc910  ?
0x1157  180dfcda0  ?
0x1158  180dfcf70  ?
0x1159  180dfd030  ?
0x115a  180e45100  ?
0x115c  180e45420  ?
0x115d  180e45860  ?
0x1160  180dfe580  ?
0x1163  180dfe690  receive_eSUB_CMD_WARP_IN_SECTOR
0x1164  180dfeb40  receive_eSUB_CMD_MAZE_CLEAR_INFO
0x1166  180dfe500  ?
0x1167  180dfe230  receive_eSUB_CMD_MAZE_ESCORT_STATUS Call --> Result(%d), FunctionName(%s)
