# client -> server. opcode  sender_va  sender_name (from the sender's own log string)
0x113c  18060b0a0  send_eSUB_CMD_MAZE_COLLISION_EVENT_REQ
0x1148  1805f44d0  send_eSUB_CMD_MAZE_ENTER_PARTY_RES
0x114c  1805f7010  send_eSUB_CMD_CHECK_EVENT_SPAWN_BOX_REQ
0x115b  18060a7e0  send_eSUB_CMD_PARTY_RAID_RECRUIT_LEADER_CHANGE
0x1162  1805f6ba0  send_eSUB_CMD_OPERATION_END_REQ
0x1165  1805f6e70  send_eSUB_CMD_QUEST_MOVE_CHECK_REQ
0x116b  18060ac10  send_eSUB_CMD_MAZE_PARTY_RAID_REWARD_RECV
0x1171  1805f4320  send_eSUB_CMD_MONSTER_CLIENT_SPAWN
0x1177  1805f6c70  ?
0x1179  1805f6d40  ?
0x117c  1805f69a0  send_eSUB_CMD_MAZE_SWITCH_NPC_CLICK_REQ
0x117e  1805f6a70  send_eSUB_CMD_MAZE_LUA_FUNCTION_REQ
0x1201  1805f7140  ?
0x1202  1805f72d0  ?
0x1203  1805f7410  ?
0x1204  1805f74e0  ?
0x1205  1805f75b0  ?
0x1208  180602960  ?
0x1209  180602aa0  ?
0x1230  180602d00  send_eSUB_CMD_PARTY_MATCHING_ENTER
0x1231  180602e30  send_eSUB_CMD_PARTY_MATCHING_EXIT
0x1232  180602eb0  send_eSUB_CMD_PARTY_MATCHING_CHECK
0x1236  1806030b0  send_eSUB_CMD_PARTY_RECRUIT_LIST
0x1237  180603130  send_eSUB_CMD_PARTY_RECRUIT_MY_APPLY_LIST
0x1238  1806031b0  send_eSUB_CMD_PARTY_RECRUIT_ADD
0x1239  180603240  send_eSUB_CMD_PARTY_RECRUIT_APPLY
0x123a  1806033d0  send_eSUB_CMD_PARTY_RECRUIT_APPLY_ACCEPT
0x123b  1806034b0  send_eSUB_CMD_PARTY_RECRUIT_APPLY_REJECT
0x123d  180603580  send_eSUB_CMD_PARTY_RECRUIT_DEL
0x123e  180603600  send_eSUB_CMD_PARTY_RECRUIT_APPLY_LIST
0x1240  180603300  send_eSUB_CMD_PARTY_RECRUIT_APPLY_DEL
0x1241  180603680  send_eSUB_CMD_PARTY_RECRUIT_APPLY_INFO
0x124e  18060a920  send_eSUB_CMD_PARTY_RAID_RECRUIT_INVITE
0x124f  18060ab80  send_eSUB_CMD_PARTY_RAID_RECRUIT_INVITE_ACCEPT
0x1250  18060a150  send_eSUB_CMD_PARTY_RAID_RECRUIT_LIST
0x1252  18060a1d0  send_eSUB_CMD_PARTY_RAID_RECRUIT_ADD
0x1253  18060a260  send_eSUB_CMD_PARTY_RAID_RECRUIT_APPLY
0x1254  18060a2f0  send_eSUB_CMD_PARTY_RAID_RECRUIT_APPLY_ACCEPT
0x1255  18060a380  send_eSUB_CMD_PARTY_RAID_RECRUIT_APPLY_REJECT
0x1257  18060a410  send_eSUB_CMD_PARTY_RAID_RECRUIT_DEL
0x1259  18060a4e0  send_eSUB_CMD_PARTY_RAID_RECRUIT_APPLY_INFO
0x125d  18060a5b0  send_eSUB_CMD_PARTY_RAID_RECRUIT_SLOT_CHANGE
0x125e  18060a6c0  send_eSUB_CMD_MAZE_ENTER_PARTY_RAID_RES
0x125f  18060a640  send_eSUB_CMD_PARTY_RAID_CREATE_RAID
0x1263  18060a750  send_eSUB_CMD_PARTY_RAID_LEAVE
0x1265  18060ac90  send_eSUB_CMD_PARTY_RAID_GIVE_UP
0x1402  1805fa120  send_eSUB_CMD_DROP_PICK_UP : ITEM
0x1503  1805fae30  send_eSUB_CMD_QUEST_ACCEPT : %d
0x1505  1805faf10  send_eSUB_CMD_QUEST_EPISODE_COMPLETE : %d
0x1506  1805fb050  send_eSUB_CMD_QUEST_GIVE_UP : %d
0x1508  1805fb130  send_eSUB_CMD_QUEST_EVENT_UPDATE : %d %d
0x1509  1805fb210  send_eSUB_CMD_QUEST_HELPER : %d %d
0x1511  1805fb360  send_eSUB_CMD_QUEST_FAIL : %d
0x1741  1805f3550  ?
0x1743  1805f3610  ?
0x1745  1805f36d0  ?
0x1752  1805f37f0  ?
0x1755  1806095d0  ?
0x1801  1805fdff0  send_eSUB_CMD_ITEM_MAKE
0x1802  1805f9520  send_eSUB_CMD_ITEM_UPGRADE
0x1803  1805f9ee0  send_eSUB_CMD_ITEM_EXCHANGE
0x1804  1805fa070  send_eSUB_CMD_ITEM_DISASSEMBLE
0x1805  1805fe0b0  send_eSUB_CMD_ITEM_SOCKET_EQUIP
0x1806  1805fe140  send_eSUB_CMD_ITEM_SOCKET_ACTIVE
0x1807  1805fe230  send_eSUB_CMD_ITEM_SOCKET_DETACH
0x1808  1805fa1d0  ?
0x1809  1805fa280  ?
0x1810  1805fa370  ?
0x1811  1805fa440  ?
0x1813  1805fa7e0  send_eSUB_CMD_ITEM_EVOLUTION
0x1815  1805faa40  ?
0x1817  1805faae0  ?
0x1818  1805facd0  ?
0x1820  1805fe2c0  send_eSUB_CMD_ITEM_BROACH_EQUIP
0x1821  1805fe350  send_eSUB_CMD_ITEM_BROACH_ACTIVE
0x1822  1805f9c70  send_eSUB_CMD_ITEM_RESTORE
0x1823  1805fe440  send_eSUB_CMD_ITEM_BROACH_COMPOSE
0x1823  1805fe4f0  send_eSUB_CMD_ITEM_BROACH_COMPOSE(Peta)
0x1824  1805f9d20  send_eSUB_CMD_ITEM_UNSEAL
0x1825  1805fa8d0  ?
0x1826  1805f9dd0  send_eSUB_CMD_ITEM_USE_EFFECT UseItem(%d,%d), selectItem(%d,%d)
0x1827  1805fa510  ?
0x1828  1805fe600  send_eSUB_CMD_ITEM_BROACH_REMOVE
0x1829  1805fa5a0  ?
0x1830  1805fe720  send_eSUB_CMD_ITEM_SOCKET_EXCHANGE
0x1831  1805fe7b0  send_eSUB_CMD_ITEM_SOCKET_UPGRADE
0x1832  1805fe840  send_eSUB_CMD_ITEM_SOCKET_EXTRACT
0x1833  1805fabf0  ?
0x1836  1805fe960  send_eSUB_CMD_ITEM_DYE
0x1837  1805fe8d0  send_eSUB_CMD_ITEM_TITLE_CHANGE
